name,url_picture,date_of_birth,age,height,weight,spike,block
Julia Nowicka,/en/vnl/women/teams/pol-poland/players/julia-nowicka?id=71045,21/10/1998,21,174,58,295,278
Marta Joanna Wojcik,/en/vnl/women/teams/pol-poland/players/marta-joanna-wojcik?id=71055,17/02/1982,37,183,70,295,280
Klaudia Alagierska,/en/vnl/women/teams/pol-poland/players/klaudia-alagierska?id=71029,02/01/1996,23,190,76,297,290
Kamila Witkowska,/en/vnl/women/teams/pol-poland/players/kamila-witkowska?id=71053,02/12/1991,28,191,76,310,301
Agnieszka Kakolewska,/en/vnl/women/teams/pol-poland/players/agnieszka-kakolewska?id=71038,17/10/1994,25,197,75,309,295
Martyna Lukasik,/en/vnl/women/teams/pol-poland/players/martyna-lukasik?id=71040,26/11/1999,20,189,75,315,288
Julia Twardowska,/en/vnl/women/teams/pol-poland/players/julia-twardowska?id=71052,04/05/1995,24,185,66,297,283
Maria Stenzel,/en/vnl/women/teams/pol-poland/players/maria-stenzel?id=71050,25/11/1998,21,168,53,278,262
Magdalena Stysiak,/en/vnl/women/teams/pol-poland/players/magdalena-stysiak?id=71051,03/12/2000,19,198,85,312,295
Zuzanna Efimienko-Mlotkowska,/en/vnl/women/teams/pol-poland/players/zuzanna-efimienko-mlotkowska?id=71032,08/08/1989,30,197,72,318,303
Monika Bociek,/en/vnl/women/teams/pol-poland/players/monika-bociek?id=71030,06/04/1996,23,185,70,302,287
Malgorzata Jasek,/en/vnl/women/teams/pol-poland/players/malgorzata-jasek?id=71037,14/03/1995,24,191,78,300,240
Paulina Maj-Erwardt,/en/vnl/women/teams/pol-poland/players/paulina-maj-erwardt?id=71041,22/03/1987,32,166,58,277,255
Joanna Wolosz,/en/vnl/women/teams/pol-poland/players/joanna-wolosz?id=71056,07/04/1990,29,181,71,303,281
Martyna Grajber,/en/vnl/women/teams/pol-poland/players/martyna-grajber?id=71035,28/03/1995,24,180,67,293,276
Natalia Medrzyk,/en/vnl/women/teams/pol-poland/players/natalia-medrzyk?id=71042,13/01/1992,27,183,73,305,287
Malwina Smarzek,/en/vnl/women/teams/pol-poland/players/malwina-smarzek?id=71049,03/06/1996,23,191,80,318,292
Emilia Mucha,/en/vnl/women/teams/pol-poland/players/emilia-mucha?id=71043,07/12/1993,26,186,78,300,283
Olivia Rozanski,/en/vnl/women/teams/pol-poland/players/olivia-rozanski?id=71048,05/06/1997,22,185,74,315,300
